culture_nom,type_culture,surface,days_late,total_days,storm_days,rain_days,heat_days,frost_days,high_hum_days,high_wind_days,avg_temp,avg_humidity,avg_wind,actual_quantite
Maïs,Céréales,225.05043547850565,7,44,1,4,4,0,4,0,29.33524803204418,57,15.716721778368928,158.613815927044
Tulipe,Ornementales,238.69329182624674,1,13,0,5,1,0,5,2,23.31213158037408,73,22.23595548774682,1885.8717046729391
Rosier,Ornementales,395.5929449760478,0,72,1,2,0,0,6,0,19.2258892440126,72,18.086956751183852,1577.260407428163
Fraise,Fruits,124.63034807401696,10,14,0,5,2,0,4,1,21.40908709294346,53,19.20281789093601,273.8335526807458
Laurier-rose,Ornementales,67.8228920390525,0,37,2,5,2,0,6,2,23.075653809737897,63,33.59187575240436,216.51861464481243
Laurier-rose,Ornementales,80.81685254436297,5,18,0,3,1,1,3,2,23.606268774063015,47,15.846427398203147,186.5009944520136
Salades,Légumes,414.8830428552353,0,10,0,2,2,1,2,1,17.071679924653683,72,10.970728219129736,1484.5349275766175
Tulipe,Ornementales,152.54974068865812,3,51,0,2,6,0,3,1,14.653185809676998,39,36.509279322312494,1396.216066472741
Tulipe,Ornementales,97.84147099729215,0,39,1,4,0,0,2,1,14.687121637458231,46,16.65876559299188,872.4623170110744
Pêche,Fruits,372.1021619186155,10,20,0,4,3,0,2,2,16.88053989664708,55,5.365579981629969,3066.835413018338
Rosier,Ornementales,63.48055841521012,0,33,1,5,3,0,3,0,19.790506259271815,65,37.286976444055924,258.53610525797814
Rosier,Ornementales,80.4972471558599,14,83,0,1,0,0,1,0,24.829231135270835,75,21.55429327668466,304.52906778280664
Laurier-rose,Ornementales,438.7524216949582,1,73,0,1,2,0,3,0,24.880860420349666,33,29.274384815581808,1363.701754726517
Tulipe,Ornementales,489.9896334874304,0,74,1,3,3,0,3,0,27.18296808218913,55,19.386756541711527,3240.608072738807
Tomates,Légumes,474.94038409051683,0,63,0,5,2,0,4,1,12.567758466080555,58,8.279928074051842,3441.2885934471533
Jasmin,Ornementales,300.9041821885135,0,72,2,2,1,0,7,0,30.855694288321054,65,28.465839858434038,538.0403734085089
Tomates,Légumes,173.4825015808367,5,69,1,2,2,0,9,2,31.625526169102848,53,21.07880444343033,1454.1481582793854
Tulipe,Ornementales,414.44576048619734,0,33,0,4,4,1,3,0,20.922331517011248,62,28.205284754174187,2973.2113820797954
Salades,Légumes,27.719728142401145,3,10,0,4,5,0,5,1,19.851899871553425,72,37.20769831165984,59.42245947644359
Blé,Céréales,36.70515434573484,0,59,0,3,2,1,4,3,21.21317481877993,65,39.510125601263,16.437953866707133
Laurier-rose,Ornementales,146.2570174328161,0,17,0,4,2,0,5,1,19.96444909669591,75,8.58061773857596,408.70342956427123
Pomme de terre,Légumes,186.72209388062458,21,51,2,5,0,0,2,0,20.147961666721525,74,1.6859391578487646,402.9179823729265
Oignon,Légumes,429.7085315515335,10,43,0,2,5,0,1,0,24.067871357416315,70,13.116277177692407,1137.5316824579652
Carottes,Légumes,494.6751713149667,21,54,2,2,3,0,2,0,18.767372094293542,77,0.0,861.1082125978536
Salades,Légumes,423.3583085336452,0,78,1,1,2,1,8,0,21.575917710087573,65,20.511420585521616,1281.336046157733
Orange,Fruits,176.03926144870644,0,25,0,4,2,1,7,1,16.975219575488843,63,36.11116148499621,2418.986497383233
Avoine,Céréales,369.53921374457894,0,87,0,1,5,1,4,1,15.794151689953607,63,5.762655646009398,115.86371441155866
Framboise,Fruits,434.0737085472748,7,69,1,3,2,0,6,1,20.282662300955984,57,8.866119580781518,991.8975181319188
Fraise,Fruits,361.6431823443681,0,43,1,2,5,0,2,0,16.785716512811305,62,32.125188368316,1325.1027899379376
Rosier,Ornementales,480.0125436938422,21,70,0,3,5,0,3,2,26.900655203204746,69,32.51725008565195,1253.6681366445475
Salades,Légumes,452.25144491742367,10,31,0,2,3,1,1,0,16.509063304924442,56,31.129658916602637,1178.4415405549605
Banane,Fruits,64.68418044212109,3,40,0,2,2,0,1,1,12.619132312787869,70,16.49047617782022,1012.0860567010616
Pomme,Fruits,168.0203160741876,0,57,0,3,0,0,2,0,23.66886235872776,62,27.777673890849254,2808.0418703405226
Tomates,Légumes,64.2084391054796,5,59,0,3,2,1,7,2,25.812226857167666,71,26.3690628337221,472.2609680006136
Framboise,Fruits,19.326732430568423,0,66,1,4,1,0,2,0,32.78536699986784,73,20.11445439091466,49.4364697409408
Avoine,Céréales,441.3863470625692,0,52,1,1,3,0,4,1,29.723986669630392,76,18.67771343468828,104.74117446784874
Riz,Céréales,262.1456954239101,0,85,1,1,3,1,4,2,21.294334867449276,78,0.0,149.58032361875195
Blé,Céréales,289.2675711343479,0,18,3,2,4,0,6,1,22.083911331191754,65,24.24965897436149,61.93153360849515
Blé,Céréales,129.36240522571762,21,25,2,1,2,0,4,0,20.674196093281875,58,19.720175434697822,25.5744217688541
Maïs,Céréales,492.4386180428695,3,88,1,1,1,1,3,2,24.87325323112277,36,23.89691705320002,416.9549086014207
Blé,Céréales,111.33862848187553,7,58,0,2,2,0,6,0,20.092560708229225,46,21.19225861127392,30.059177876252388
Jasmin,Ornementales,263.6541454309872,0,49,0,2,0,1,3,0,27.641736789301532,72,22.116097327950502,589.4937811897901
Jasmin,Ornementales,237.85692467474377,3,87,0,5,2,0,7,0,13.811550086790607,56,12.578079060025633,501.27195925644577
Oignon,Légumes,73.22472801920046,0,22,1,5,3,0,2,3,19.10325904765213,73,34.7927451067423,258.6510136984451
Framboise,Fruits,207.53870001835014,7,81,1,4,1,0,3,0,30.653828747117466,52,3.4490465681481624,371.6169317166534
Pêche,Fruits,337.2460878355133,0,20,0,1,2,0,7,1,18.83249417605412,59,29.861363169607678,3480.2976302091483
Avoine,Céréales,428.45234431214226,21,36,0,3,8,0,4,0,19.261173134651667,76,13.55632879786977,69.46484049649517
Pomme de terre,Légumes,174.70368457939313,0,73,1,2,2,0,4,1,22.66237435367331,53,6.018903402011492,527.592492009879
Pêche,Fruits,217.51274339303038,0,50,0,5,3,0,2,3,27.041320976165185,82,17.283256163127078,2103.318325369896
Pêche,Fruits,447.5851995727885,0,21,1,2,0,0,2,2,20.536623338935975,28,11.057926480205227,4972.366974872974
Lentille,Légumes,55.450477938002436,10,43,1,4,1,1,1,0,28.181172418916386,62,29.626575724868413,11.26176519168132
Carottes,Légumes,330.23451458988524,0,45,0,4,3,0,2,0,15.104776016870236,31,18.83119813591476,960.9796428437794
Salades,Légumes,415.0396274823857,7,37,0,2,2,0,5,2,33.602760911129124,89,7.720001191775026,1041.922924210809
Pêche,Fruits,114.9052217749929,14,17,0,2,2,0,3,2,13.731944338912802,32,0.0,768.7610096395329
Avoine,Céréales,379.5930423195673,10,18,0,1,1,1,6,1,22.159512047956593,68,26.18190714665301,104.94681491609452
Rosier,Ornementales,434.4108571021998,0,57,0,5,2,0,4,0,19.106605127782473,74,20.97413412957782,2386.5376707396968
Banane,Fruits,380.2143758119794,2,52,2,1,4,0,2,2,26.775031931318644,60,22.504463002607608,5644.144633675437
Salades,Légumes,440.5941736934444,21,39,0,1,6,0,4,2,29.39741160461618,20,16.52476587806481,701.9337633554355
Tulipe,Ornementales,420.48126051165013,7,15,0,1,3,0,2,1,12.46661461492765,58,27.42028902979491,1949.1479584241856
Salades,Légumes,57.43697315943601,1,85,0,3,3,0,4,0,21.345129090631993,56,25.62272871914493,156.6830847810866
Jasmin,Ornementales,39.3139252854766,0,10,0,4,0,1,3,6,24.187206934199576,68,21.772613669488557,71.96897528853795
Rosier,Ornementales,486.1838711368885,0,66,0,3,0,0,4,0,10.772691303634078,87,26.026524463064987,2344.669887400774
Fraise,Fruits,488.8244376580351,21,13,0,1,1,1,6,0,35.37564166333584,74,29.711390068229115,1042.4762262932604
Tomates,Légumes,387.6788746960313,0,53,0,4,1,1,3,2,28.725043908419,50,23.605916776568414,2403.058955407868
Tomates,Légumes,322.42840031223443,0,58,1,2,4,1,7,1,13.437181586882552,33,21.094853594470877,2898.8116531023843
Maïs,Céréales,317.14424156426224,0,69,1,2,1,0,5,0,23.072445779717963,50,19.773147246743534,254.650673179116
Rosier,Ornementales,44.26649942366199,5,43,1,4,1,0,3,0,25.288770277853175,73,0.025333071101403704,145.46799827823523
Lentille,Légumes,383.94619001175124,0,84,0,8,0,0,5,0,26.495337563205126,34,10.697353127299492,116.55684764363143
Riz,Céréales,164.03049188865336,14,20,0,4,1,0,5,1,19.64776122477561,62,11.83424892544425,51.14669932069697
